Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
No,sklearn,sklearn.ensemble._gb_losses,538,19,OpExpr,None,,OpExpr,2025-03-01 06:44:25.909528
No,sklearn,sklearn.ensemble._gb_losses,685,20,OpExpr,None,,OpExpr,2025-03-01 06:44:26.003628
No,sklearn,sklearn.ensemble._hist_gradient_boosting.grower,256,33,OpExpr,int,,OpExpr,2025-03-01 06:44:28.922144
No,sklearn,sklearn.ensemble._hist_gradient_boosting.grower,298,33,OpExpr,int,,OpExpr,2025-03-01 06:44:28.975877
No,sklearn,sklearn.ensemble._hist_gradient_boosting.grower,734,15,OpExpr,int,,OpExpr,2025-03-01 06:44:29.333445
No,sklearn,sklearn.externals._arff,402,27,OpExpr,str,,OpExpr,2025-03-01 06:44:29.560320
No,sklearn,sklearn.externals._packaging.version,450,7,OpExpr,"UnionType[str, bytes, SupportsInt]",,OpExpr,2025-03-01 06:44:30.272062
No,sklearn,sklearn.feature_extraction.image,47,25,OpExpr,int,,OpExpr,2025-03-01 06:44:30.315402
No,sklearn,sklearn.feature_extraction.image,280,29,OpExpr,None,,OpExpr,2025-03-01 06:44:30.541561
No,sklearn,sklearn.feature_extraction.text,1233,24,SliceExpr,None,,SliceExpr,2025-03-01 06:44:31.211805
No,sklearn,sklearn.feature_extraction._dict_vectorizer,128,15,OpExpr,bool,,OpExpr,2025-03-01 06:44:31.639658
No,sklearn,sklearn.feature_extraction._dict_vectorizer,132,15,OpExpr,bool,,OpExpr,2025-03-01 06:44:31.646652
No,sklearn,sklearn.feature_selection._univariate_selection,440,31,ConditionalExpr,bool,,ConditionalExpr,2025-03-01 06:44:33.182590
No,sklearn,sklearn.gaussian_process.kernels,1377,11,OpExpr,bool,,OpExpr,2025-03-01 06:44:34.162958
No,sklearn,sklearn.gaussian_process._gpr,394,11,OpExpr,bool,,OpExpr,2025-03-01 06:44:35.410717
No,sklearn,sklearn.inspection._partial_dependence,682,29,GeneratorExpr,None,,GeneratorExpr,2025-03-01 06:44:37.259859
No,sklearn,sklearn.inspection._plot.decision_boundary,188,11,OpExpr,None,,OpExpr,2025-03-01 06:44:37.635467
No,sklearn,sklearn.inspection._plot.decision_boundary,191,11,OpExpr,None,,OpExpr,2025-03-01 06:44:37.638929
No,sklearn,sklearn.inspection._plot.decision_boundary,330,25,OpExpr,float,,OpExpr,2025-03-01 06:44:37.753574
No,sklearn,sklearn.inspection._plot.decision_boundary,330,41,OpExpr,float,,OpExpr,2025-03-01 06:44:37.755571
No,sklearn,sklearn.inspection._plot.decision_boundary,331,25,OpExpr,float,,OpExpr,2025-03-01 06:44:37.759568
No,sklearn,sklearn.inspection._plot.decision_boundary,331,41,OpExpr,float,,OpExpr,2025-03-01 06:44:37.762565
No,sklearn,sklearn.inspection._plot.partial_dependence,548,16,ConditionalExpr,str,,ConditionalExpr,2025-03-01 06:44:37.899001
No,sklearn,sklearn.inspection._plot.partial_dependence,616,25,GeneratorExpr,None,,GeneratorExpr,2025-03-01 06:44:38.038903
No,sklearn,sklearn.inspection._plot.partial_dependence,1365,39,OpExpr,None,,OpExpr,2025-03-01 06:44:38.727182
No,sklearn,sklearn.linear_model._coordinate_descent,141,24,OpExpr,bool,,OpExpr,2025-03-01 06:44:39.996730
No,sklearn,sklearn.linear_model._coordinate_descent,143,42,OpExpr,bool,,OpExpr,2025-03-01 06:44:40.000727
No,sklearn,sklearn.linear_model._coordinate_descent,163,31,OpExpr,None,,OpExpr,2025-03-01 06:44:40.038231
No,sklearn,sklearn.linear_model._coordinate_descent,163,56,OpExpr,float,,OpExpr,2025-03-01 06:44:40.039230
No,sklearn,sklearn.linear_model._coordinate_descent,170,35,OpExpr,float,,OpExpr,2025-03-01 06:44:40.049219
No,sklearn,sklearn.linear_model._coordinate_descent,523,7,OpExpr,bool,,OpExpr,2025-03-01 06:44:40.110156
No,sklearn,sklearn.linear_model._coordinate_descent,587,26,OpExpr,float,,OpExpr,2025-03-01 06:44:40.173018
No,sklearn,sklearn.linear_model._coordinate_descent,633,16,OpExpr,str,,OpExpr,2025-03-01 06:44:40.212355
No,sklearn,sklearn.linear_model._coordinate_descent,954,28,OpExpr,None,,OpExpr,2025-03-01 06:44:40.287358
No,sklearn,sklearn.linear_model._coordinate_descent,977,11,OpExpr,bool,,OpExpr,2025-03-01 06:44:40.307040
No,sklearn,sklearn.linear_model._least_angle,459,7,OpExpr,bool,,OpExpr,2025-03-01 06:44:41.208934
No,sklearn,sklearn.linear_model._least_angle,462,16,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:44:41.209933
No,sklearn,sklearn.linear_model._least_angle,488,7,OpExpr,bool,,OpExpr,2025-03-01 06:44:41.245633
No,sklearn,sklearn.linear_model._least_angle,571,19,OpExpr,None,,OpExpr,2025-03-01 06:44:41.369390
No,sklearn,sklearn.linear_model._least_angle,578,26,OpExpr,int,,OpExpr,2025-03-01 06:44:41.371388
No,sklearn,sklearn.linear_model._least_angle,573,19,OpExpr,int,,OpExpr,2025-03-01 06:44:41.384375
No,sklearn,sklearn.linear_model._least_angle,722,33,MemberExpr,None,,"Any, Any, Any",2025-03-01 06:44:41.604643
No,sklearn,sklearn.linear_model._least_angle,1484,23,OpExpr,bool,,OpExpr,2025-03-01 06:44:42.041277
No,sklearn,sklearn.linear_model._logistic,374,12,SliceExpr,None,,SliceExpr,2025-03-01 06:44:43.000460
No,sklearn,sklearn.linear_model._logistic,-1,-1,SliceExpr,None,,SliceExpr,2025-03-01 06:44:43.017993
No,sklearn,sklearn.linear_model._logistic,530,37,OpExpr,None,,OpExpr,2025-03-01 06:44:43.134519
No,sklearn,sklearn.linear_model._logistic,531,23,OpExpr,None,,OpExpr,2025-03-01 06:44:43.136517
No,sklearn,sklearn.linear_model._logistic,552,16,OpExpr,str,,OpExpr,2025-03-01 06:44:43.147506
